"","Apakah hardisk tipe ssd memiliki performa kerja lebih baik dari hdd dalam hal kecepatan mengakses data","Apakah pengguna setuju bahwa dual core (multi core )pada prosessor lebih cenderung mempercepat kinerja system computer dibandingkan quad core","Apakah dengan menggunakan VGA NVIDIA GeForce saat akan melakukan aktivitas gaming tidak ada lag","Agar dapat support dengan aplikasi yang bersifat multi core harus menggunakan memori yang besar ","Saat melakukan aktivitas multitasking pada komputer  dengan menggunakan processor multi core tidak akan menjadi masalah","Apakah pengguna bisa membedakan antara hardware yang masih baru dengan yang sudah second (bekas)","Menurut pengalaman pengguna, Apakah tempat service komputer dapat menjamin tidak adanya penukaran hardware computer dengan yang bekas","Apakah dengan media penyimpanan yang lebih besar pengguna dapat lega untuk menyimpanan data","Pengguna dapat lebih meminimalkan penggunaan listrik jika menggunakan Monitor LCD dari pada monitor CRT "
"Responden 1","4","4","3","4","3","3","3","5","4"
"Responden 2","5","4","5","4","4","5","5","5","4"
"Responden 3","4","3","4","4","3","5","2","4","4"
"Responden 4","4","4","4","4","4","3","3","5","4"
"Responden 5","5","4","4","4","4","3","3","4","3"
"Responden 6","4","3","4","4","4","4","3","4","4"
"Responden 7","3","5","4","4","3","4","3","3","3"
"Responden 8","4","4","4","4","4","5","2","5","4"
"Responden 9","4","5","4","4","4","4","4","4","5"
"Responden 10","5","2","3","4","4","3","3","4","3"
"Responden 11","3","4","3","3","3","4","4","4","3"
"Responden 12","5","4","3","5","5","4","2","5","3"
"Responden 13","4","4","4","4","4","4","2","4","4"
"Responden 14","4","4","4","4","4","4","2","4","4"
"Responden 15","4","2","3","4","4","2","2","4","5"
"Responden 16","4","3","3","5","4","4","3","4","2"
"Responden 17","5","2","4","4","4","4","2","5","4"
"Responden 18","3","4","3","4","4","3","4","5","4"
"Responden 19","4","4","4","4","4","2","2","4","4"
"Responden 20","4","5","4","4","3","2","2","4","3"
"Responden 21","2","4","4","4","3","3","2","4","4"
"Responden 22","5","4","4","4","4","4","4","5","5"
"Responden 23","4","3","3","4","3","3","3","4","3"
"Responden 24","4","3","3","4","4","3","3","4","4"
"Responden 25","4","4","4","4","4","3","1","4","4"
"Responden 26","3","4","2","4","3","3","3","5","4"
"Responden 27","4","3","5","4","5","3","4","5","5"
"Responden 28","3","4","4","4","3","3","3","5","4"
"Responden 29","4","4","3","5","4","4","2","5","2"
"Responden 30","3","3","3","4","3","4","3","4","4"
"Responden 31","3","4","3","4","3","2","3","5","3"
"Responden 32","4","5","4","4","3","3","3","5","4"
"Responden 33","4","4","4","4","4","4","4","4","4"
"Responden 34","3","4","4","5","3","4","2","5","2"
"Responden 35","4","5","5","5","4","5","2","5","4"
"Responden 36","5","4","4","4","3","4","3","5","5"
"Responden 37","3","3","3","4","3","4","2","4","4"
"Responden 38","4","4","3","2","2","4","1","5","3"
"Responden 39","2","3","4","4","3","2","3","3","4"
"Responden 40","4","4","4","3","4","4","2","4","4"
"Responden 41","5","4","3","3","3","4","3","4","4"
"Responden 42","5","4","4","4","3","4","2","2","4"
"Responden 43","4","3","5","5","4","4","4","5","5"
"Responden 44","5","5","4","3","3","5","2","5","4"
"Responden 45","4","4","2","2","4","4","2","5","2"
"Responden 46","5","4","3","5","3","5","1","5","2"
"Responden 47","4","4","3","4","3","4","2","5","3"
"Responden 48","3","4","3","5","3","2","2","4","3"
"Responden 49","4","2","3","4","4","5","2","4","5"
"Responden 50","4","3","3","4","4","4","2","4","4"
"Responden 51","4","5","5","3","4","3","2","4","5"
"Responden 52","4","4","4","4","3","3","3","5","4"
"Responden 53","4","2","3","4","4","4","3","4","3"
"Responden 54","4","4","3","5","3","2","2","5","3"
"Responden 55","3","3","3","3","3","3","3","3","3"
"Responden 56","4","4","4","4","4","4","3","4","4"
"Responden 57","4","3","3","5","5","3","3","5","5"
"Responden 58","3","3","3","3","3","2","3","4","3"
"Responden 59","4","3","3","4","4","2","3","5","4"
"Responden 60","2","1","4","4","4","4","3","5","3"
"Responden 61","4","4","4","4","4","5","5","5","5"
"Responden 62","5","4","4","4","3","4","3","1","3"
"Responden 63","4","4","3","4","3","4","2","5","4"
"Responden 64","4","2","3","4","4","4","2","5","4"
"Responden 65","5","4","4","4","3","4","3","4","3"
"Responden 66","3","4","4","5","4","4","4","4","4"
"Responden 67","2","2","4","2","2","4","5","5","5"
"Responden 68","3","3","3","4","4","3","2","4","3"
"Responden 69","4","3","5","2","4","2","3","5","3"
"Responden 70","4","2","4","4","3","4","2","4","4"
"Responden 71","4","4","4","5","4","4","4","4","4"
"Responden 72","5","2","5","3","2","3","3","4","3"
"Responden 73","4","2","3","4","3","4","4","4","4"
"Responden 74","4","4","2","3","2","3","2","5","4"
"Responden 75","3","3","3","3","3","3","3","4","3"
"Responden 76","5","1","5","3","5","4","3","5","3"
"Responden 77","4","5","4","5","4","5","3","5","4"
"Responden 78","5","4","5","5","5","3","3","5","5"
"Responden 79","5","2","4","4","4","4","3","4","3"
"Responden 80","4","3","4","4","3","5","2","5","4"
"Responden 81","4","3","3","5","3","2","2","5","3"
"Responden 82","3","4","3","5","4","2","2","4","4"
"Responden 83","4","4","4","4","4","4","2","5","2"
"Responden 84","4","3","3","4","2","3","1","4","2"
"Responden 85","3","4","4","5","3","4","2","5","3"
"Responden 86","4","5","2","4","4","4","2","5","4"
"Responden 87","4","5","4","4","3","1","1","4","4"
"Responden 88","4","5","4","5","4","2","4","3","5"
"Responden 89","4","2","5","4","2","3","2","4","4"
"Responden 90","4","4","5","4","3","2","1","3","5"
"Responden 91","4","5","4","4","3","3","3","3","4"
"Responden 92","3","4","4","4","3","3","3","2","3"
"Responden 93","4","3","3","4","3","2","1","5","3"
"Responden 94","5","5","3","4","3","5","5","5","3"
"Responden 95","4","5","3","4","4","3","3","5","4"
"Responden 96","4","3","4","4","3","2","3","4","4"
"Responden 97","4","4","4","4","4","4","4","4","4"
"Responden 98","4","3","3","4","3","5","3","5","4"
"Responden 99","5","2","4","3","3","4","3","4","4"
"Responden 100","4","4","3","4","2","4","4","5","4"
"Responden 101","4","4","4","4","4","5","4","4","4"
"Responden 102","4","4","4","4","4","4","3","4","3"
"Responden 103","4","4","3","4","3","4","2","4","4"
"Responden 104","4","4","4","4","4","2","2","4","3"
"Responden 105","4","2","4","4","2","2","2","5","3"
"Responden 106","4","4","3","5","4","3","3","5","4"
"Responden 107","5","2","4","4","4","5","4","5","4"
"Responden 108","4","3","4","5","4","4","1","5","3"
"Responden 109","5","1","2","5","5","5","1","5","5"
"Responden 110","4","5","4","3","4","3","3","4","4"
"Responden 111","4","2","2","4","4","4","2","5","5"
"Responden 112","5","5","4","4","4","4","2","4","4"
"Responden 113","5","3","5","5","4","5","1","2","4"
"Responden 114","4","2","4","4","4","4","2","4","5"
"Responden 115","4","5","5","5","5","5","5","5","5"
"Responden 116","4","3","3","3","4","2","2","4","5"
"Responden 117","4","3","3","4","3","4","2","4","3"
"Responden 118","4","4","4","4","4","4","2","4","3"
"Responden 119","5","5","5","1","5","1","1","5","5"
"Responden 120","4","4","4","4","4","2","3","5","5"
"Responden 121","3","2","3","3","4","2","1","5","3"
"Responden 122","4","4","4","4","4","3","4","5","4"
"Responden 123","3","4","3","4","3","3","3","5","4"
"Responden 124","3","3","4","4","3","3","3","5","4"
"Responden 125","5","2","3","3","4","4","2","5","5"
"Responden 126","4","4","4","4","4","3","2","5","4"
"Responden 127","4","2","3","4","4","4","2","4","3"
"Responden 128","3","3","3","3","3","3","3","4","3"
"Responden 129","3","3","4","4","3","4","2","5","3"
"Responden 130","5","1","4","4","5","4","1","5","3"
"Responden 131","4","3","4","4","4","2","3","4","2"
"Responden 132","4","5","3","4","5","4","3","5","5"
"Responden 133","4","3","4","4","3","3","3","4","4"
"Responden 134","4","3","5","4","4","3","3","5","4"
"Responden 135","3","4","4","4","4","4","3","5","3"
"Responden 136","3","4","4","4","4","2","2","5","3"
"Responden 137","4","4","4","4","4","3","2","5","3"
"Responden 138","5","5","5","4","5","4","5","5","5"
"Responden 139","4","2","3","3","2","4","3","4","2"
"Responden 140","3","4","3","3","3","2","2","5","3"
"Responden 141","4","5","3","4","3","2","2","5","3"
"Responden 142","4","4","4","4","4","3","3","5","3"
"Responden 143","4","4","4","4","4","4","4","5","4"
"Responden 144","4","4","3","4","4","3","3","4","4"
"Responden 145","4","3","5","4","5","3","1","5","3"
"Responden 146","3","4","3","4","3","4","2","5","3"
"Responden 147","3","4","3","4","4","2","4","5","4"
"Responden 148","4","4","3","4","3","4","2","4","3"
"Responden 149","5","3","4","4","4","2","3","4","3"
"Responden 150","4","3","3","3","3","4","2","4","3"
"Responden 151","3","3","4","3","3","2","2","4","3"
"Responden 152","4","4","3","4","4","2","1","4","3"
"Responden 153","4","4","4","2","3","4","3","4","4"
"Responden 154","3","3","3","3","4","3","3","4","3"
"Responden 155","4","4","4","4","4","4","4","5","4"
"Responden 156","5","5","4","4","4","4","2","3","4"
"Responden 157","4","5","3","3","3","2","1","5","4"
"Responden 158","4","4","3","4","4","3","2","4","4"
"Responden 159","4","3","2","3","3","4","4","5","5"
"Responden 160","3","2","4","3","3","4","2","4","4"
